ScenarioName	anim.ks	DO NOT EDIT
もどる	返回
ScenarioName	cg.ks	DO NOT EDIT
おまけモード	
ＢＧＭ	
リラックス	
日常	
夕方	
お色気	
バドミントン	
モノローグ	
不穏	
すっとぼけ	
希望	
キス	
寂しい	
ScenarioName	config.ks	DO NOT EDIT
Game&nbsp;Config	
BGM&nbsp;音量：	
&tf.current_bgm_vol	
SE&nbsp;音量：	
&tf.current_se_vol	
文字速度：	
未読スキップ：	
&tf.text_skip	
テキスト表示テスト	
ScenarioName	mail.ks	DO NOT EDIT
From：ほむらちゃん	From：小焰
件名：エイミー	邮件名：艾米
本文：	正文：
エイミーが見つかってよかったわ。	能找到艾米真是太好了。
疲れただろうから、ゆっくり休んでね。	一定很累了吧，要好好休息哦。
From：杏子ちゃん	
件名：無題	
本文：	正文：
すんげぇうまい食い物見つけたぞ！！	
ワッフルの上にクリームがてんこ盛りなんだ。	
さやかも大絶賛してたぜ。	
From：ほむらちゃん	From：小焰
件名：ごめんなさい	
本文：	正文：
からかいが過ぎたかなって少し反省してる。	
ごめんなさい。	
From：マミさん	
件名：集え我が元へ　導かれし宿命（さだめ）に翻弄されし乙女達よ...	
本文：	正文：
近々みんなで集まりましょう。	
話し合いたいことがあるの。	
とても重要な議題よ。	
私たちの今後を左右するかも。	
場所は私の家。	
日時は調整するから希望日時を教えてね。	
From：ほむらちゃん	From：小焰
件名：ゲーセンって	
本文：	正文：
ゲーセンってとっても楽しいのね。	
今までろくに足を踏み入れなかったことを軽く悔やんだわ。	
From：なぎさちゃん	
件名：お願いなのです	
本文：	正文：
まどか、お願いがあるのです。	
マミからお誘いかかったら、ちゃんとお返事してあげてほしいのです。	
杏子あてに何度か送ってるけど返事がこないって悲しい顔してて、	
ハンバーグは焦がすしチーズは買い忘れるしと散々なのです。	
大げさなメールがきてもそれは単にみんなとお茶したいだけだから	
気軽に返してあげてほしいのです。頼んだのです。	
From：ほむらちゃん	From：小焰
件名：ミニトマト	
本文：	正文：
ミニトマトにほむら案はやめてくれたかしら？	
From：ほむらちゃん	From：小焰
件名：気をつけて	
本文：	正文：
次からはハミパンに気をつけて。	
From：仁美ちゃん	
件名：まどかさんへ	
本文：	正文：
お父様の取引先の方から映画のチケットを二枚いただきましたの。	
よろしければまどかさんに差し上げますわ。	
暁美さんを誘って是非に。	
映画のタイトルは「秘めた想いとゆりの花」ですわ。	
うふふ、今のまどかさんにぴったりですわね。	
From：ほむらちゃん	From：小焰
件名：大事なこと	
本文：	正文：
大事なことを聞き忘れたわ。	
クマちゃんはいつ返せばいい？	
To：ほむらちゃん	
件名：re：エイミー	
本文：	正文：
夜の学校は怖かったけど、ちょっぴり楽しくもあったかなーって。	
ほむらちゃんがいたからだね。	
To：ほむらちゃん	
件名：re：エイミー	
本文：	正文：
わたしたちもエイミーも大冒険だったね。	
おやすみなさい。	
To：ほむらちゃん	
件名：re：ごめんなさい	
本文：	正文：
いいよ、気にしないで。イヤな思いをしたわけじゃないんだし。	
明日顔を見たら照れちゃいそうだけどね。	
To：ほむらちゃん	
件名：re：ごめんなさい	
本文：	正文：
バツとして、パパ手作りのクッキーをお腹いっぱい食べてもらいます。	
ほむらちゃんもプニプニになっちゃえばいいんだよ。	
To：ほむらちゃん	
件名：re：ゲーセンって	
本文：	正文：
もっと大きなゲーセンが風見野市にあるんだって。	
今度二人で行ってみる？	
To：ほむらちゃん	
件名：re：ゲーセンって	
本文：	正文：
みんなでワイワイできるからね。	
次はカラオケ行こっか。	
みんな歌う傾向バラバラだから、	
聞いてるだけでも楽しいよ。	
To：ほむらちゃん	
件名：re：ミニトマト	
本文：	正文：
ミニトマトはやめてぬいぐるみにしたよ。	
この前ゲーセンで取ってくれたサバトラちゃんに、	
ほむらちゃんって命名します。	
To：ほむらちゃん	
件名：re：ミニトマト	
本文：	正文：
続行です。	
諦めてタツヤに食べられてね。	
To：ほむらちゃん	
件名：re：気をつけて	
本文：	正文：
せっかく忘れていたのに思い出させないでよー！！	
いいもん、またはみ出してたら直してもらうから。	
今度は普通に直してね？	
To：ほむらちゃん	
件名：re：気をつけて	
本文：	正文：
もう、やめてよぅ……	
ほむらちゃんがはみ出してても教えてあげないんだから。	
To：ほむらちゃん	
件名：re：大事なこと	
本文：	正文：
いつでもいいよ。	
わたしだと思って大切にしてね。	
To：ほむらちゃん	
件名：re：大事なこと	
本文：	正文：
いつでもいいよ。	
ところでほむらちゃんの寝顔、すっごくかわいいね。	
写真撮っちゃった。	
なんて返信しようかな？	
おやすみなさい	
怖かったけど楽しかった	
ほむらちゃんもプニプニになっちゃえばいいんだよ	
いいよ、気にしないで	
次はみんなでカラオケに	
今度は二人で……	
続行です	
ミニトマトはやめてぬいぐるみにしたよ	
ほむらちゃんがはみ出してても教えてあげないんだから	
今度は普通に直してね	
ほむらちゃんの寝顔、すっごくかわいいね	
わたしだと思って大切にしてね	
ScenarioName	mail_homura.ks	DO NOT EDIT
もどる	返回
受信ボックス	收件箱
ほむらちゃん	小焰
送信ボックスへ	已发邮件
次のページ	下一页
もどる	返回
受信ボックス	收件箱
前のページ	
もどる	返回
送信ボックス	
ほむらちゃん	小焰
ほむらちゃん	小焰
受信ボックスへ	
From：ほむらちゃん	
件名：エイミー	
エイミーが見つかってよかったわ。	
疲れただろうから、ゆっくり休んでね。	
返信する	
To：ほむらちゃん	
件名：re：エイミー	
わたしたちもエイミーも大冒険だったね。	
おやすみなさい。	
To：ほむらちゃん	
件名：re：エイミー	
夜の学校は怖かったけど、	
ちょっぴり楽しくもあったかなーって。	
ほむらちゃんがいたからだね。	
大冒険だったね	
